id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
54,Serre Chevalier,,FR,Hautes-Alpes,Serre Chevalier Vallée,Non-glacier,2025-12-06,2026-12-05,Official season pages; forum confirms 6-7 Dec 2025 opening weekend; 2026/27 official blog,2800,250,Serre Chevalier Vallée full day pass (all four sectors),65.5,65.5,EUR,estimated_from_2025_26,,44.93253,6.59259,4.0,4.0,"Renowned off-piste in the Monetier/Yret, Cucumelle and Tabuc sectors with a strong guide-bureau scene; the adjacent Col du Lautaret-Cerces-Ecrins zone is one of France's densest day-touring areas (Camptocamp).",https://www.serre-chevalier.com/en/ski-area/webcam-live-serre-chevalier-briancon,200,"2025/26 peak price valid 20 Dec 2025-27 Mar 2026 (early season 52.50); 2026/27 prices not yet official (forum reports 68 EUR day pass); Briancon sector opened one week later (13 Dec 2025); from Italy via Col de Montgenevre (open all year); base = Chantemerle (Saint-Chaffrey) cable-car village, OSM hamlet point ~300 m from lift.",https://www.serre-chevalier.com/fr/blog/savoir-hiver-2025-2026-serre-chevalier | https://www.serrechevalier-pass.com/en/price-list | https://www.brianconnais.info/glisse/forfaits-ski-alpin/forfaits-ski-serre-chevalier/ | https://www.serreche-ski.net/topic/2599-saison-20252026/page/2/ | https://www.serreche-ski.net/topic/2598-tarifs-20252026/ | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/serre-chevalier-briancon-chantemerle-villeneuve-la-salle-le-monetier-les-bains/,medium
55,Montgenèvre,,FR,Hautes-Alpes,Via Lattea (Vialattea) – Montgenèvre sector,Non-glacier,2025-11-29,2026-11-28,Official site; France 3 (6 Dec 2025) confirms 29 Nov opening; 2026/27 official site,2648,95,Montgenèvre-only day pass (Monts de la Lune 110 km; Via Lattea 400 km),56.0,56.0,EUR,published_2026_27,,44.93117,6.7218,3.5,3.5,"Good but less-known off-piste (Gondrans bowls, Rocher de l'Aigle, Chalvet north side) inside the 400 km Vialattea; solid local touring (Chaberton, Gondrans) with the renowned Claree valley (Nevache) 20 min away.",https://montgenevre.com/hiver/en-direct/webcams-montgenevre,200,"2026/27 peak price 19 Dec 2026-11 Apr 2027 (shoulder 45.50); Montgenèvre + Monts de la Lune pass 58.50; Voie Lactee international pass valid 19 Dec 2026-11 Apr 2027; 2025/26 day pass was 52 EUR; resort sits on Col de Montgenevre (N94/SS24), open all year from Italy; local top lift point 2648 m (Via Lattea max 2823 m).",https://montgenevre.com/ | https://skipass.montgenevre.com/fr/tarifs-guichet | https://www.envie-de-brianconnais.com/agenda/ouverture-station-montgenevre-hiver-2026-2027/ | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://www.skiinfo.fr/alpes-du-sud/montgenevre/forfaits-de-ski | https://www.skiresort.com/en/ski-resort/via-lattea-sestriere-sauze-doulx-san-sicario-claviere-montgenevre/,high
56,Vars,,FR,Hautes-Alpes,La Forêt Blanche (Vars–Risoul),Non-glacier,2025-12-06,2026-12-05,"France 3: snow-dependent pre-opening 6 Dec 2025 (10 lifts), continuous 13 Dec; 2026/27 official",2750,185,"Forêt Blanche pass (Vars+Risoul), the standard day pass",58.0,58.0,EUR,published_2026_27,,44.57261,6.68164,3.5,3.5,"Regular FWQ/Vars freeride events and Eyssina-Chabrieres off-piste give a real but not world-famous scene; good local touring toward Col de Vars, Parpaillon and the Queyras edge.",https://www.vars.com/winter/infolive/webcams/,200,58 EUR quoted on the Vars OT 2026/27 pass page (Friday web offer 46.40) and as base price in the Risoul 2025/26 shop; official 26/27 tariff PDF is image-only; 6 Dec 2025 pre-opening was weather-dependent and not independently confirmed (full domain 12-13 Dec 2025); Col de Vars (D902) normally open in winter: from Italy via Col de Larche-Barcelonnette-Col de Vars or via Briancon-Guillestre; main base Les Claux (Sainte-Marie is the first village from Guillestre).,https://www.vars.com/winter/ | https://www.vars.com/winter/on-site-activities/skiing-and-snowboarding/the-ski-area/ | https://www.vars.com/winter/on-site-activities/skiing-and-snowboarding/the-ski-area/buy-my-package/ | https://risoul.labellemontagne.com/fr/ | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/vars-risoul-la-foret-blanche/,medium
57,Risoul,,FR,Hautes-Alpes,La Forêt Blanche (Vars–Risoul),Non-glacier,2025-12-06,2026-12-05,"France 3 (6 Dec 2025): pre-opening 6-7 Dec, continuous 13 Dec; 2026/27 official Risoul site",2750,185,"Forêt Blanche pass (Vars+Risoul), the standard day pass",58.0,58.0,EUR,published_2026_27,,44.62287,6.63583,3.0,3.0,"Family resort, mostly on-piste; tree skiing and Foret Blanche off-piste shared with Vars but little freeride profile; limited local touring (Pointe de Razis, Col de Valbelle).",https://www.risoul.com/webcams.html,200,"2026/27: reduced-domain pre-opening 5-11 Dec 2026 then full opening 12 Dec 2026-11 Apr 2027 (official); Labellemontagne operator, card 2 EUR, web-only promos (e.g. Saturday pass 46.50 instead of 58 in 2025/26); no Risoul-only day pass found in shop; access from Guillestre (D902/D186).",https://www.risoul.com/le-domaine-skiable-de-risoul-la-foret-blanche.html | https://www.risoul.com/achat-tarifs-forfaits.html | https://risoul.labellemontagne.com/fr/ | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/vars-risoul-la-foret-blanche/,medium
58,Les Orres,,FR,Hautes-Alpes,Les Orres,Non-glacier,2025-12-06,2026-12-05,Envie de Serre-Poncon/mesinfos 6 Dec 2025 (France 3 lists 7 Dec); 2026/27 official site,2720,100,Les Orres day pass (single area),43.2,45.5,EUR,published_2026_27,,44.49301,6.5571,3.0,3.0,"Sunny, mostly groomed Serre-Poncon resort with modest off-piste (Pousterle, Boussolenc) and no FWQ history; limited touring around the Parpaillon massif.",https://www.lesorres.com/en/webcams,200,"2026/27 high season 19 Dec 2026-19 Mar 2027: window 45.50, online 48 h ahead 43.20 (mid season 38.50, low 34.00); 2025/26 day pass 42-44.50 per aggregators; base = Les Orres 1650 centre (Bois Mean 1800 is a second front de neige); access via Embrun (D40).",https://www.lesorres.com/en/skiing-in-les-orres/the-ski-area | https://forfait.lesorres.com/fr/forfaits-ski | https://www.lesorres.com/en | https://www.envie-de-serre-poncon.com/event/ouverture-les-orres-hiver-2025-2026 | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://www.skiresort.com/en/ski-resort/les-orres/,high
59,Orcières Merlette,,FR,Hautes-Alpes,Orcières Merlette 1850,Non-glacier,2025-12-13,2026-12-12,mesinfos/France 3 (13 Dec 2025); 2026/27 official ski-area page and FAQ,2725,100,Orcières Merlette 1850 day pass (km per skiresort/forfait2ski),46.0,46.0,EUR,estimated_from_2025_26,,44.69605,6.32292,3.0,3.5,"Family-oriented with some off-piste on Drouvet/Rocherousse but no freeride pedigree; the Champsaur-Ecrins south side (Vieux Chaillol, Prelles, upper Drac huts) offers many documented day tours.",https://www.orcieres.com/live/webcams/,200,"Dynamic pricing (Propuls' pass) with online discounts; 46 EUR is the skiresort main-season 2025/26 figure, forfait2ski lists 48.50 EUR (indicative) for 2026/27, official day price not shown on pass.orcieres.com; official km not stated on site; day parkings P4 Drapeaux / P6 Queyrelet at Merlette 1850; access via Gap-Champsaur (D944).",https://www.orcieres.com/en/activities/winter/ski/ski-area/ | https://www.orcieres.com/en/faq/ | https://pass.orcieres.com/fr | https://www.forfait2ski.com/orcieres-1850/ | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://www.skiresort.com/en/ski-resort/orcieres-merlette-1850/,medium
60,Puy-Saint-Vincent,,FR,Hautes-Alpes,Puy-Saint-Vincent,Non-glacier,2025-11-29,2026-12-12,"France 3 (6 Dec 2025): pre-openings 29-30 Nov, 6-7 Dec; continuous 13 Dec; 2026/27 official",2750,75,Puy-Saint-Vincent day pass (single area),44.0,44.0,EUR,published_2026_27,,44.81912,6.48565,3.0,3.5,"Mostly on-piste with some steep off-piste under Pendine and no competition history; Vallouise-Ecrins (Pelvoux, Ailefroide, Glacier Blanc approaches) is a major touring base 15 min away.",https://www.puysaintvincent.com/webcams,200,"Pre-opening weekends 29-30 Nov and 6-7 Dec 2025 were snow-dependent and not independently confirmed as held (continuous opening 13 Dec 2025 - use that if in doubt); 2026/27: possible weekend 5-6 Dec 2026 then continuous 12 Dec 2026-11 Apr 2027; 2026/27 day pass 44 EUR (+2 EUR card), 2025/26 was 41.50; elevation 2750 m official (skiresort 2677 m); two bases: 1400 Les Pres and 1600 Station (main lifts incl. TS Bergerie, coordinates given); night skiing.",https://www.puysaintvincent.com/forfait-ski-puy-saint-vincent | https://www.puysaintvincent.com/domaine-skiable/domaine-alpin | https://www.envie-de-brianconnais.com/agenda/ouverture-puy-saint-vincent-hiver-2026-2027/ | https://www.brianconnais.info/glisse/ouverture-des-pistes/ | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/puy-saint-vincent/,medium
61,Le Dévoluy,,FR,Hautes-Alpes,Le Dévoluy (Superdévoluy–La Joue du Loup),Non-glacier,2025-12-13,2026-12-12,mesinfos/France 3 (13 Dec 2025); 2026/27 official alpine-domain page,2500,100,"Dévoluy day pass (Superdévoluy + La Joue du Loup, one linked area)",44.0,44.0,EUR,estimated_from_2025_26,,44.67654,5.92959,3.0,3.5,"Gentle plateau resort with limited lift-served off-piste; the Devoluy massif (Obiou, Pic de Bure, Grand Ferrand) has many classic day tours documented on Camptocamp.",https://www.ledevoluy.com/hiver/en-live/webcams/,200,"Price from skiinfo 2025/26 (adult 18-69, +2 EUR card, updated Oct 2025) cross-checked with skiresort; official shop (ledevoluy.skiperformance.com) is a JS app not readable; two bases marketed as one destination, Superdevoluy village used as base; access via Gap or Col du Festre (D937, kept open in winter).",https://www.ledevoluy.com/winter/skiing-and-snowboarding/the-alpine-domain/ | https://www.skiinfo.fr/alpes-du-sud/superdevoluy-la-joue-du-loup/forfaits-de-ski | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://www.skiresort.com/en/ski-resort/devoluy-superdevoluy-la-joue-du-loup/,medium
62,La Grave,,FR,Hautes-Alpes,La Grave–La Meije,Glacier + non-glacier,2025-12-20,,Official winter page and press (20 Dec 2025); no 2026/27 date published yet,3550,3,"La Grave day pass; single groomed Girose glacier run, rest off-piste (skiresort)",66.0,66.0,EUR,estimated_from_2025_26,,45.04426,6.30311,5.0,4.5,"Legendary lift-served freeride (Vallons de la Meije, Chancel, Trifides) with a guide-dominated culture and the Derby de la Meije; La Meije/Ecrins and Col du Lautaret provide dense high-alpine touring classics.",https://la-grave.com/en/webcams/,200,"Cable car 20 Dec 2025-3 May 2026, full day pass 66 EUR official 2025/26 (skiresort still lists 62); Girose glacier drag lifts to Dome de la Lauze 3550 m run only when snow/weather allow (typically from Feb), otherwise top is Ruillans 3200 m; no marked pistes off the glacier (19 km of itineraries); Col du Lautaret (D1091) normally open in winter with storm closures; from Italy via Montgenevre-Briancon-Lautaret.",https://la-grave.com/en/hiver-tarifs-horaires/ | https://la-grave.com/en/le-domaine-de-haute-montagne-hiver/ | https://www.envie-de-brianconnais.com/event/ouverture-telepherique-la-grave-hiver-2025-2026 | https://www.hautesvallees.com/la-grave/en/equipement/glacier-lifts-of-la-meije-la-grave/ | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/la-grave-la-meije/,medium
63,Molines-en-Queyras–Saint-Véran,,FR,Hautes-Alpes,Queyras,Non-glacier,2025-12-20,2026-12-18,mesinfos/bergfex/PACA tourism 20 Dec 2025 (Envie de Queyras: 19 Dec); 2026/27 OT/PACA 18 Dec 2026,2830,35,Molines–Saint-Véran local pass (OT/PACA 35 km; bergfex/skiresort 33 km),39.9,39.9,EUR,estimated_from_2025_26,,44.72348,6.84727,3.0,4.0,"Small lift system with good snow but little lift-served freeride; the Queyras (Saint-Veran, Pic de Caramantran, Tete des Toillies, hut-to-hut circuits) is one of France's best-known ski-touring valleys with dense Camptocamp coverage.",https://lequeyras.com/webcams/,200,"Highest lift-served point 2830 m per Molines and Saint-Veran commune sites, lequeyras.com and bergfex (skiresort 2800, PACA tourism 2900), so the 2800 m criterion is met; price is the aggregator main-season figure (lequeyras.com shows 38.10 undated; official shop queyras.skiperformance.com is a JS app); Col Agnel and Col d'Izoard closed in winter, access only via Guillestre-Combe du Queyras (D902/D947/D5); base = Molines sector (400 parking spaces, OSM stop 'Molines - Station' 0.7 km S of village), Saint-Veran sector has 50 spaces.",https://lequeyras.com/en/according-to-my-nature/sports-addict/downhill-skiing/the-molines-st-veran-area/ | https://molinesenqueyras.fr/fr/rb/1573574/notre-domaine-de-ski-alpin | https://www.mairie-saintveran.fr/le-ski-et-les-activites-de-pleine-nature-en-hiver | https://www.bergfex.com/molines-en-queyras/ | https://provence-alpes-cotedazur.com/en/things-to-do/leisure-relaxation/all-relaxation-and-leisure-activities/alpine-domains-of-molines-saint-veran-molines-en-queyras-en-2883135/ | https://www.envie-de-queyras.com/event/ouverture-stations-queyras-hiver-2025-2026 | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/molines-en-queyras-saint-veran/,medium
