id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
171,Champéry,,CH,Valais,Portes du Soleil (Swiss side: Champéry–Les Crosets–Champoussin),Non-glacier,2025-11-29,2026-11-28,Blick 26 Nov 2025 (Champéry–Les Crosets partial weekend opening); official PdS Suisse 2026/27 timetable,2254,600,"Full Portes du Soleil pass (only day pass sold); official +600 km, skiresort 580",72,81,CHF,estimated_from_2025_26,,46.1749,6.87108,3.5,3.0,Swiss Wall (Chavanette) and Les Crosets/Mossettes off-piste with local guiding but no major event history; touring around the Dents du Midi is decent yet not a hub.,https://skipass-pds-ch.ch/en/webcams,200,"Base = Champéry–Planachaux cable car (Les Crosets/Champoussin reachable by road, higher up). Swiss side sells only the full Portes du Soleil day pass in CHF: skiinfo CHF 72 vs bergfex CHF 81 high season 2025/26 (conflicting); official shop showed only season passes. Official 2026/27: Crosets 8 lift from 28 Nov 2026, Champéry–Planachaux from 5 Dec 2026, whole area 19 Dec 2026, close 11 Apr 2027. PdS official opening 2025/26 was 20 Dec 2025; skiresort top 2254 m is for whole PdS (Swiss top Pointe des Mossettes not verified). From Italy via Great St Bernard tunnel or Simplon; Pas de Morgins open in winter.",https://www.skipass-pds-ch.ch/en/timetable-winter/ | https://www.skipass-pds-ch.ch/en/passes | https://ski.ticketcorner.ch/fr/portes-du-soleil-champerycrosetschampoussinmorgins/domaine-skiable-109/forfait | https://www.skiinfo.fr/valais/champery/forfaits-de-ski | https://www.bergfex.com/champery/preise/ | https://www.skiresort.com/en/ski-resort/les-portes-du-soleil-morzine-avoriaz-les-gets-chatel-morgins-champery/ | https://www.blick.ch/fr/suisse/romande/ski-des-stations-romandes-ouvrent-des-ce-week-end/69hvzcj | https://www.watson.ch/schweiz/winter/423823282-skigebiete-schweiz-saisonstart-und-saisonende | https://www.skiinfo.fr/valais/dates-ouverture-stations,medium
172,Morgins,,CH,Valais,Portes du Soleil (Swiss side: Morgins–Champoussin),Non-glacier,,2026-12-12,Official PdS Suisse 2026/27 timetable (Morgins weekend 12–13 Dec 2026); 2025/26 Morgins-sector date not found,2254,600,"Full Portes du Soleil pass (only day pass sold); official +600 km, skiresort 580",72,81,CHF,estimated_from_2025_26,,46.23676,6.85814,3.0,2.5,"Mostly gentle on-piste terrain with some tree runs off La Foilleuse; limited local touring (Pointe de Bellevue, Corbeau).",https://www.regiondentsdumidi.ch/fr/webcams-149/,200,"Morgins sector opens later than Les Crosets: official 2026/27 Morgins 12–13 Dec 2026 (whole PdS 19 Dec 2026, Morgins closes 4 Apr 2027). 2025/26: PdS official opening 20 Dec 2025 (Watson/Blick lists) but Morgins first lift day not found. Same full-PdS day pass as Champéry with conflicting aggregator prices (skiinfo 72 / bergfex 81). Base = La Foilleuse gondola. Pas de Morgins (to Châtel) open in winter; from Italy via Great St Bernard tunnel or Simplon.",https://www.skipass-pds-ch.ch/en/timetable-winter/ | https://www.skipass-pds-ch.ch/en/passes | https://www.skiinfo.fr/valais/champery/forfaits-de-ski | https://www.bergfex.com/champery/preise/ | https://www.skiresort.com/en/ski-resort/les-portes-du-soleil-morzine-avoriaz-les-gets-chatel-morgins-champery/ | https://www.watson.ch/schweiz/winter/423823282-skigebiete-schweiz-saisonstart-und-saisonende | https://www.blick.ch/wirtschaft/blick-hat-die-grosse-uebersicht-wann-ist-der-saisonstart-der-schweizer-skigebiete-id21403396.html | https://www.skiinfo.fr/valais/dates-ouverture-stations,medium
173,Verbier,,CH,Valais,4 Vallées (Verbier–La Tzoumaz–Bruson sector),Glacier + non-glacier,2025-11-01,2026-12-05,Official press release 29 Oct 2025 (Lac des Vaux 1 Nov); official 2026/27 prices page season dates,3330,203,"Verbier–La Tzoumaz–Bruson sector (Téléverbier, official); 4 Vallées 410 km",86,86,CHF,published_2026_27,,46.09364,7.23316,5.0,5.0,"FWT Xtreme Verbier finals venue (Bec des Rosses), Mont Fort/Mont Gelé/Vallon d'Arbi itineraries and 7 marked freeride routes; Haute Route Chamonix–Zermatt passes Verbier with Grand Combin/Rosablanche tours and a dense guide scene.",https://verbier4vallees.ch/en/useful-information/webcams,200,"Fixed prices 2026/27: Verbier–Tzoumaz 1-day CHF 86, 4 Vallées CHF 94, Bruson CHF 63; -10% online if bought 10+ days ahead. Official pass season Verbier–Tzoumaz 5 Dec 2026–25 Apr 2027 (4 Vallées 12 Dec 2026) but November weekend openings are usual: skiinfo lists 7 Nov 2026 and skiresort 14 Nov 2026 (provisional). Mont Fort glacier (3330 m) needs the 4 Vallées pass. Base = Médran gondola. From Italy via Great St Bernard tunnel (pass road closed in winter).",https://verbier4vallees.ch/en/media/press-releases/Verbier-s-ski-area-opens-on-Saturday_ptd_1544473 | https://verbier4vallees.ch/en/useful-information/prices-winter | https://verbier4vallees.ch/en/about-us | https://verbier4vallees.ch/en/ski-resort | https://www.skiresort.com/en/ski-resort/4-vallees-verbier-la-tzoumaz-nendaz-veysonnaz-thyon/ | https://www.skiinfo.fr/valais/dates-ouverture-stations | https://www.skiresort.com/en/snow-reports/seasonstart/switzerland/,high
174,Nendaz,,CH,Valais,4 Vallées (Printse sector: Nendaz–Veysonnaz–Thyon),Glacier + non-glacier,2025-11-22,2026-11-14,Blick 26 Nov 2025 (partially open since 22 Nov); skiresort/skiinfo 2026/27 provisional 14 Nov 2026,3330,220,"Printse sector pass (Nendaz–Veysonnaz–Thyon), official nendaz.ch",79,79,CHF,published_2026_27,,46.1802,7.29207,4.0,4.0,"Nendaz Freeride FWQ venue (Mont Gond) plus Tortin/Gentianes/Mont Fort off-piste and 6 marked freetracks; documented day tours (Rosablanche, Cleuson/Prafleuri) and a Haute Route variant via Cabane de Prafleuri.",https://www.nendaz.ch/en/Z13326/webcams,200,"Max 3330 m (Mont Fort, co-managed by NV Remontées Mécaniques and Téléverbier) requires the 4 Vallées pass (CHF 94 in 2026/27); Printse pass tops out lower (Greppon Blanc/Plan du Fou). Printse 1-day adult CHF 79 per skiinfo (2026/27); official shop uses online discounts (page data shows 'from CHF 62'). Base = Haute-Nendaz Tracouet gondola. From Italy via Great St Bernard tunnel or Simplon.",https://www.nendaz.ch/en/Z13484/ski-area | https://www.skiinfo.fr/valais/veysonnaz/forfaits-de-ski | https://shop.nendazveysonnaz.ch/en/products/ski-printse | https://www.bergfex.com/nendaz/preise/ | https://www.skiresort.com/en/ski-resort/4-vallees-verbier-la-tzoumaz-nendaz-veysonnaz-thyon/ | https://www.blick.ch/fr/suisse/romande/ski-des-stations-romandes-ouvrent-des-ce-week-end/69hvzcj | https://www.skiinfo.fr/valais/dates-ouverture-stations | https://www.skiresort.com/en/snow-reports/seasonstart/switzerland/,medium
175,Veysonnaz,,CH,Valais,4 Vallées (Printse sector),Non-glacier,2025-11-29,2026-12-05,Blick 26 Nov 2025 (Veysonnaz from 29 Nov); skiinfo Valais 2026/27 provisional list,3330,220,"Printse sector pass (Nendaz–Veysonnaz–Thyon), official",79,79,CHF,published_2026_27,,46.19563,7.34279,3.5,3.0,"Shares 4 Vallées off-piste access (Mont Fort/Tortin via pass) but local terrain (Piste de l'Ours, Thyon side) is mostly on-piste; limited local touring.",https://www.veysonnaz.ch/en/Z13615/webcams,200,"Lifts operated by NV Remontées Mécaniques (Nendaz–Veysonnaz). Printse pass CHF 79 (skiinfo 2026/27), 4 Vallées CHF 94. 3330 m (Mont Fort) only with the 4 Vallées pass; Veysonnaz's own lifts top out around Greppon Blanc (official value not found). skiresort lists 4 Vallées 2026/27 start 14 Nov 2026 (Verbier side). Base = Veysonnaz gondola. From Italy via Great St Bernard tunnel or Simplon.",https://www.veysonnaz.ch/en/Z13696/ski-area | https://www.skiinfo.fr/valais/veysonnaz/forfaits-de-ski | https://www.skiinfo.fr/valais/veysonnaz/station-de-ski | https://www.skiresort.com/en/ski-resort/4-vallees-verbier-la-tzoumaz-nendaz-veysonnaz-thyon/ | https://www.blick.ch/fr/suisse/romande/ski-des-stations-romandes-ouvrent-des-ce-week-end/69hvzcj | https://www.skiinfo.fr/valais/dates-ouverture-stations,medium
176,Thyon,,CH,Valais,4 Vallées (Printse sector: Thyon 2000/Les Collons),Non-glacier,2025-11-29,2026-12-04,Blick 26 Nov 2025 (link to Thyon open from 29 Nov); skiinfo 2026/27 provisional 4 Dec 2026,3330,220,"Printse sector pass (Nendaz–Veysonnaz–Thyon), official",79,79,CHF,published_2026_27,,46.18195,7.3726,3.5,3.0,Marked but unsecured Eteygeon freeride itinerary from Greppon Blanc and Thyon–Dixence off-piste; touring mainly toward Val d'Hérens/Dixence with modest variety.,https://www.thyon.ch/ete/en-live/webcam/,200,Télé-Thyon SA operates Thyon 2000/Les Collons; Printse pass CHF 79 (skiinfo 2026/27). 3330 m (Mont Fort) only with the 4 Vallées pass; Thyon sector tops at Greppon Blanc (official value not found). Official thyon.ch is in summer mode; 2026/27 date from skiinfo provisional list. Base = Thyon 2000 (drive-to). From Italy via Simplon or Great St Bernard tunnel.,https://www.skiinfo.fr/valais/thyon-4-vallees/station-de-ski | https://www.skiinfo.fr/valais/veysonnaz/forfaits-de-ski | https://www.nendaz.ch/en/Z13484/ski-area | https://www.skiresort.com/en/ski-resort/4-vallees-verbier-la-tzoumaz-nendaz-veysonnaz-thyon/ | https://www.blick.ch/fr/suisse/romande/ski-des-stations-romandes-ouvrent-des-ce-week-end/69hvzcj | https://www.skiinfo.fr/valais/dates-ouverture-stations,medium
177,Zermatt,,CH,Valais,Matterhorn Ski Paradise (Zermatt–Cervinia),Glacier + non-glacier,2025-11-01,2026-11-01,Winter timetable start per Watson/Matterhorn Chalets lists (glacier year-round); official 2026/27 ski-pass page,3883,200,Zermatt (Swiss-side) pass; official 'up to 200 km'; International 360 km,96,116,CHF,estimated_from_2025_26,Täsch,46.06863,7.77533,5.0,5.0,"World-class off-piste (Stockhorn/Rote Nase, Schwarztor, Klein Matterhorn glacier itineraries) with deep guide culture; Haute Route terminus and 4000er ski tours (Breithorn, Monte Rosa) make it a global touring hub.",https://www.matterhornparadise.ch/en/information/webcams,200,"Year-round glacier skiing (365 days, Matterhorn glacier paradise). 2025/26 winter timetable from 1 Nov 2025 (Klein Matterhorn–Trockener Steg), other sectors 29 Nov and 6 Dec 2025; 2026/27 winter product 1 Nov 2026–3 May 2027. Dynamic pricing: official page shows only 'from CHF 89' (Zermatt) and 'from CHF 104' (International) for 2026/27; skiinfo lists Zermatt day pass CHF 96, skiresort CHF 116 (likely International peak). Car-free: park at Matterhorn Terminal Täsch (shuttle train). Official top 3883 m; skiresort 3899 m. From Italy via Simplon (car train Iselle–Brig as backup).",https://www.matterhornparadise.ch/en/information/tickets-prices/ski-passes | https://www.matterhornparadise.ch/en/experience/skiing | https://www.matterhornchalets.com/2025/10/25/zermatt-opening-dates-winter-2025-26/ | https://www.watson.ch/schweiz/winter/423823282-skigebiete-schweiz-saisonstart-und-saisonende | https://www.skiinfo.de/wallis/zermatt/skipaesse | https://www.skiresort.com/en/ski-resort/zermatt-breuil-cervinia-valtournenche-matterhorn/ | https://www.matterhornparadise.ch/en/information/operating-hours/lifts-and-pistes,medium
178,Saas-Fee,,CH,Valais,Saas-Fee (Saastal),Glacier + non-glacier,2025-11-01,2026-10-31,Watson list 8 Nov 2025 (Saastal: 1 Nov Saas-Fee); official 2026/27 winter timetable (Alpin Express/Metro Alpin 31 Oct),3573,100,Saas-Fee area (skiresort); day pass also covers Saas-Almagell (+15 km),84,84,CHF,published_2026_27,Saas-Fee,46.10978,7.93129,4.0,4.5,"Glacier-based off-piste (Feechopf, Längfluh, Plattjen) with strong guide offices; classic 4000er ski tours (Allalinhorn, Alphubel, Strahlhorn, Britannia hut) give reliable high-alpine touring.",https://www.saas-fee.ch/en/webcams,200,"Glacier summer/autumn skiing from 12 Jul 2025 (2025/26) and 18 Jul 2026 (skiresort 2026/27 season 18 Jul 2026–18 Apr 2027); official season statement 'Saas-Fee 1 Nov 2026–18 Apr 2027' while the timetable shows first winter lifts Sat 31 Oct 2026. Fixed 1-day adult CHF 84 (2026/27, Saas-Fee + Saas-Almagell). Car-free village: car journey ends at the Parkhaus at the village entrance. Official 'up to 3600 m'; skiresort 3573 m. From Italy via Simplon.",https://www.saas-fee.ch/en/winter-in-the-saas-valley | https://www.saas-fee.ch/en/services-informationen/prices-timetables-cable-cars/timetables-cable-cars/timetables-cable-cars/winter/saas-fee | https://www.saas-fee.ch/en/winter-in-the-saas-valley/ski-pass-prices/saas-fee | https://www.skiresort.com/en/ski-resort/saas-fee/ | https://www.watson.ch/schweiz/winter/423823282-skigebiete-schweiz-saisonstart-und-saisonende | https://www.blick.ch/fr/suisse/montagne-ces-stations-de-ski-sont-deja-ouvertes-au-public/d16tb7x,medium
179,Saas-Grund – Hohsaas,,CH,Valais,Saastal (Hohsaas),Non-glacier,2025-12-19,2026-12-19,Watson list 8 Nov 2025 (Saas-Grund 19 Dec); official saas-fee.ch 2026/27 timetable,3200,34,"Hohsaas area, official saas-fee.ch/bbh (skiresort 26 km)",59,59,CHF,published_2026_27,,46.12851,7.93923,3.5,4.0,"Big-vertical off-piste from Hohsaas (Trift/Triftalp) marketed as freeride terrain; classic 4000er tours (Weissmies, Lagginhorn, Fletschhorn) start from the lifts.",https://hohsaas.roundshot.com/kreuzboden/,200,"Demand-based dynamic pricing (official); skiinfo lists 2026/27 day ticket CHF 59, skiresort CHF 62. Other aggregators give 20 Dec 2025 as the 2025/26 opening (one-day conflict with Watson's 19 Dec). Official 2026/27 season 19 Dec 2026–4 Apr 2027. Base = Hohsaas gondola valley station in Saas-Grund. From Italy via Simplon.",https://www.saas-fee.ch/bbh | https://www.saas-fee.ch/en/services-informationen/prices-timetables-cable-cars/timetables-cable-cars/timetables-cable-cars/winter/saas-grund | https://www.saas-fee.ch/en/winter-in-the-saas-valley/ski-pass-prices/saas-grund | https://www.skiinfo.de/wallis/saas-grund/skipaesse | https://www.skiresort.com/en/ski-resort/hohsaas-saas-grund/ | https://www.watson.ch/schweiz/winter/423823282-skigebiete-schweiz-saisonstart-und-saisonende | https://www.skiresort.com/en/snow-reports/seasonstart/saas-fee-saastal/,medium
180,Crans-Montana,,CH,Valais,Crans-Montana,Glacier + non-glacier,2025-11-29,2026-11-28,Official MyCMA news (partial opening 29 Nov 2025); official winter opening-hours page 2026/27,2927,140,Crans-Montana pass (official CMA 140 km),89,89,CHF,estimated_from_2025_26,,46.30849,7.46955,3.5,3.5,FWQ 2026 venue and Plaine Morte glacier/Faverges off-piste but not a renowned freeride destination; touring toward Wildstrubel/Plaine Morte with moderate variety.,https://www.crans-montana.ch/en/webcam,200,"Dynamic pricing (early online booking discounts); bergfex high-season 2025/26 window price CHF 89. 2026/27: partial opening 28 Nov 2026 (snow permitting), full 19 Dec 2026–4 Apr 2027. Plaine Morte opened 3 Dec 2025. Elevation 2927 m from skiresort (official says 'up to 3000 m'). Base = Crans Cry d'Er gondola (Montana–Arnouva gondola is the alternative base). From Italy via Simplon.",https://mycma-prod.spotliowebsites.com/actualites/ouverture-du-domaine-de-crans-montana/ | https://www.mycma.ch/en-US/winter-opening-hours/ | https://www.crans-montana.ch/en/home/ski/ | https://www.bergfex.com/crans-montana/preise/ | https://www.skiresort.com/en/ski-resort/crans-montana/ | https://www.mycma.ch/tarifs-hiver/,medium
