id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
70,Sestriere,,IT,"Turin, Piedmont",Via Lattea (Vialattea),Non-glacier,2025-12-06,2026-12-05,dovesciare 2025-12-04 lift list; 2026/27: skiinfo + official 2026/27 listino periods (vialattea.it blocked),2789,400,Vialattea international pass incl. Montgenevre (400 km),58.5,60,EUR,published_2026_27,,44.95845,6.87869,3.0,3.0,Olympic piste-focused resort; modest off-piste under Monte Motta/Banchetta; touring possible in nearby Val Troncea but limited variety and guide scene.,https://www.bergfex.com/sestriere/webcams/,200,"Alpette sector opened 6 Dec 2025 (Cit Roc, Trebials, Capret, Garnel chairs). Peak prices = 2026/27 official online listino (Skimania, verified 10 Sep 2026): EUR 60 24 Dec-6 Jan, EUR 58.50 23 Jan-14 Mar, EUR 52 low; ticket office about +2 EUR (2025/26 pattern), skiinfo quotes EUR 62 window; Italy-only Vialattea pass about 5 EUR cheaper (2025/26: 53 vs 58.50 international); vialattea.it returns HTTP 403 to automated fetch so official pages not directly verified; 2026/27 start: skiinfo 5 Dec 2026 vs skiresort.com 28 Nov 2026 (unconfirmed).",https://www.dovesciare.it/news/2025-12-04/vialattea-il-6-dicembre-si-scia-dettaglio-impianti-aperti | https://www.skimania.it/sestriere-skipass-2026-27-da-52-euro-quanto-costano-weekend-settimana-bianca-e-stagionale/ | https://www.skiinfo.it/piemonte/claviere/skipass | https://www.dovesciare.it/prezzi/skipass-via-lattea | https://www.skiresort.com/en/ski-resort/via-lattea-sestriere-sauze-doulx-san-sicario-claviere-montgenevre/ | https://it.wikipedia.org/wiki/Via_Lattea_(comprensorio_sciistico) | https://www.bergfex.com/sestriere/webcams/,medium
71,Sauze d'Oulx,,IT,"Turin, Piedmont",Via Lattea (Vialattea),Non-glacier,2025-12-06,2026-12-05,dovesciare 2025-12-04 lift list; 2026/27: skiinfo + official 2026/27 listino periods (vialattea.it blocked),2789,400,Vialattea international pass incl. Montgenevre (400 km),58.5,60,EUR,published_2026_27,,45.02703,6.85835,3.0,2.5,Known for tree-lined off-piste around Sportinia/Lago Nero but no freeride events; touring limited (Gran Bosco di Salbertrand area).,https://www.skiinfo.it/piemonte/sauze-doulx/webcam,200,"Sportinia sector opened 6 Dec 2025 (Sportinia, Rocce Nere chairs); lifts from village (Clotes) and Jouvenceaux; 2789 m is the area max (Monte Motta, Sestriere side). Peak prices = 2026/27 official online listino (Skimania, verified 10 Sep 2026): EUR 60 24 Dec-6 Jan, EUR 58.50 23 Jan-14 Mar, EUR 52 low; ticket office about +2 EUR (2025/26 pattern), skiinfo quotes EUR 62 window; Italy-only Vialattea pass about 5 EUR cheaper (2025/26: 53 vs 58.50 international); vialattea.it returns HTTP 403 to automated fetch so official pages not directly verified; 2026/27 start: skiinfo 5 Dec 2026 vs skiresort.com 28 Nov 2026 (unconfirmed).",https://www.dovesciare.it/news/2025-12-04/vialattea-il-6-dicembre-si-scia-dettaglio-impianti-aperti | https://www.skimania.it/sestriere-skipass-2026-27-da-52-euro-quanto-costano-weekend-settimana-bianca-e-stagionale/ | https://www.skiinfo.it/piemonte/claviere/skipass | https://www.dovesciare.it/prezzi/skipass-via-lattea | https://www.skiresort.com/en/ski-resort/via-lattea-sestriere-sauze-doulx-san-sicario-claviere-montgenevre/ | https://it.wikipedia.org/wiki/Via_Lattea_(comprensorio_sciistico) | https://www.skiinfo.it/piemonte/sauze-doulx/webcam,medium
72,Cesana–Sansicario,,IT,"Turin, Piedmont",Via Lattea (Vialattea),Non-glacier,2025-12-06,2026-12-05,dovesciare 2025-12-04 lift list; 2026/27: skiinfo + official 2026/27 listino periods (vialattea.it blocked),2789,400,Vialattea international pass incl. Montgenevre (400 km),58.5,60,EUR,published_2026_27,,44.95244,6.79067,2.5,2.5,Sansicario is intermediate-piste terrain with little documented off-piste; ski touring around Cesana is limited.,https://www.bergfex.com/cesana-sansicario/webcams/,200,"Sansicario sector opened 6 Dec 2025 (Sellette chair + baby lifts); coordinates = Cesana Torinese valley base (Cesana-Sansicario gondola, lowest Vialattea base 1372 m); Sansicario Alto (1700 m) also reachable by road. Peak prices = 2026/27 official online listino (Skimania, verified 10 Sep 2026): EUR 60 24 Dec-6 Jan, EUR 58.50 23 Jan-14 Mar, EUR 52 low; ticket office about +2 EUR (2025/26 pattern), skiinfo quotes EUR 62 window; Italy-only Vialattea pass about 5 EUR cheaper (2025/26: 53 vs 58.50 international); vialattea.it returns HTTP 403 to automated fetch so official pages not directly verified; 2026/27 start: skiinfo 5 Dec 2026 vs skiresort.com 28 Nov 2026 (unconfirmed).",https://www.dovesciare.it/news/2025-12-04/vialattea-il-6-dicembre-si-scia-dettaglio-impianti-aperti | https://www.skimania.it/sestriere-skipass-2026-27-da-52-euro-quanto-costano-weekend-settimana-bianca-e-stagionale/ | https://www.skiinfo.it/piemonte/claviere/skipass | https://www.dovesciare.it/prezzi/skipass-via-lattea | https://www.skiresort.com/en/ski-resort/via-lattea-sestriere-sauze-doulx-san-sicario-claviere-montgenevre/ | https://it.wikipedia.org/wiki/Via_Lattea_(comprensorio_sciistico) | https://www.bergfex.com/cesana-sansicario/webcams/,medium
73,Claviere,,IT,"Turin, Piedmont",Via Lattea (Vialattea),Non-glacier,2025-12-06,2026-12-05,dovesciare 2025-12-04 lift list; 2026/27: skiinfo + official 2026/27 listino periods (vialattea.it blocked),2789,400,Vialattea international pass incl. Montgenevre (400 km),58.5,60,EUR,published_2026_27,,44.93880,6.75029,3.0,3.0,Some off-piste toward Monts de la Lune/Montgenevre; moderate touring around Colle del Monginevro and Val Gimont.,https://www.claviere.it/it/webcam/,200,"Colle Bercia sector opened 6 Dec 2025 (La Coche, Serra Granet chairs); border village linked to Montgenevre (FR), international pass needed for French side; Monginevro pass road open in winter. Peak prices = 2026/27 official online listino (Skimania, verified 10 Sep 2026): EUR 60 24 Dec-6 Jan, EUR 58.50 23 Jan-14 Mar, EUR 52 low; ticket office about +2 EUR (2025/26 pattern), skiinfo quotes EUR 62 window; Italy-only Vialattea pass about 5 EUR cheaper (2025/26: 53 vs 58.50 international); vialattea.it returns HTTP 403 to automated fetch so official pages not directly verified; 2026/27 start: skiinfo 5 Dec 2026 vs skiresort.com 28 Nov 2026 (unconfirmed).",https://www.dovesciare.it/news/2025-12-04/vialattea-il-6-dicembre-si-scia-dettaglio-impianti-aperti | https://www.skimania.it/sestriere-skipass-2026-27-da-52-euro-quanto-costano-weekend-settimana-bianca-e-stagionale/ | https://www.skiinfo.it/piemonte/claviere/skipass | https://www.dovesciare.it/prezzi/skipass-via-lattea | https://www.skiresort.com/en/ski-resort/via-lattea-sestriere-sauze-doulx-san-sicario-claviere-montgenevre/ | https://it.wikipedia.org/wiki/Via_Lattea_(comprensorio_sciistico) | https://www.claviere.it/it/webcam/,medium
74,Bardonecchia,,IT,"Turin, Piedmont",Bardonecchia,Non-glacier,2025-12-06,2026-12-05,bardonecchia.it/dovesciare Oct 2025; official 2026/27 tariff page (promo from 5 Dec 2026),2800,100,Bardonecchia local pass (Campo Smith-Melezet-Jafferau),44,52,EUR,published_2026_27,,45.07078,6.69644,3.5,3.5,Jafferau and Colomion off-piste make it a popular Piedmont freeride spot though small; classic touring in Valle Stretta/Vallee Etroite and Rochemolles.,https://www.bardonecchiaski.com/en/live-info/webcam-in-bardonecchia,200,"2026/27 official prices: weekday EUR 44, weekend/holiday EUR 51, peak 24 Dec-6 Jan EUR 52, promo EUR 40 (5-18 Dec, 30 Mar-11 Apr); 2025/26 was 43/49 and promo 39; season 5 Dec 2026-11 Apr 2027 (skiinfo/skiresort); Jafferau top 2800 m; coordinates = Campo Smith base.",https://www.bardonecchiaski.com/it/skipass/tariffe-stagione-2026-2027 | https://moveo.telepass.com/bardonecchia-i-prezzi-dello-skipass-per-la-nuova-stagione/ | https://www.dovesciare.it/news/2025-10-27/vialattea-e-bardonecchia-e-novita-della-stagione-invernale-20252026 | https://www.skiinfo.it/piemonte/bardonecchia/skipass | https://www.skiresort.com/en/ski-resort/bardonecchia/ | https://www.bardonecchiaski.com/en/live-info/webcam-in-bardonecchia,high
75,Alagna Valsesia,,IT,"Vercelli, Piedmont",Monterosa Ski,Glacier + non-glacier,2025-11-29,2026-11-28,aostasera 2025/26 round-up (Monterosa Ski area opening); monterosaski.eu 2026/27 schedule page,3275,132,Monterosa Ski 3-valley pass (skiresort.com 132 km),71,71,EUR,published_2026_27,,45.85388,7.93625,4.5,4.0,"Monterosa Freeride Paradise: Indren, Malfatta, Balma and Olen itineraries with strong guide scene and FWQ history; touring to Monte Rosa huts (Gnifetti, Piramide Vincent) and Val Vogna/Turlo.",https://monterosaski.eu/en/webcam,200,"29 Nov 2025 is the Monterosa Ski area opening (Ayas/Gressoney); Alagna sector opening date not separately verified (usually a week later); Indren 3275 m is off-piste only, not glacier pistes; coordinates = lower funivia car park in Alagna; access from Milan via Valsesia SP299, no passes. Dynamic pricing 2026/27: adult 1-day EUR 40-71 depending on date and advance purchase (peak dates at top of range), online EUR 5 cheaper than ticket office; Monterosa Ski 3-valley pass is the only pass sold for the linked area (Antagnod separate).",https://monterosaski.eu/en/schedules-monterosa-ski-area-19384 | https://monterosaski.eu/en/tariffazione-dinamica-monterosa-ski-19318 | https://monterosaski.eu/en/ | https://aostasera.it/notizie/turismo/dove-sciare-in-valle-daosta-skipass-impianti-e-piste-2025-2026/ | https://www.skiresort.com/en/ski-resort/alagna-valsesia-gressoney-la-trinite-champoluc-frachey-monterosa-ski/ | https://monterosaski.eu/en/webcam,medium
76,Prato Nevoso – Mondolè Ski,,IT,"Cuneo, Piedmont",Mondolè Ski (Prato Nevoso–Artesina–Frabosa),Non-glacier,2025-11-23,,"official pratonevoso.com news 21-24 Nov 2025 (early opening 23 Nov, all lifts 27 Nov); 2026/27 unconfirmed",2085,105,Mondole Ski full pass (skiresort 105 km; official claims 130),52,52,EUR,estimated_from_2025_26,,44.25529,7.78559,2.5,2.5,"Family-oriented, low-altitude Ligurian Alps resort with little documented off-piste; local touring limited by snow reliability.",https://pratonevoso.com/webcam/,200,"Extraordinary early opening Sun 23 Nov 2025 (partial lifts), Caudano-Vallon 6-seater from 24 Nov, all lifts from Thu 27 Nov 2025, Open Season show 6-7 Dec; 2026/27 opening not published (skiinfo 5 Dec 2026 vs skiresort 26 Nov 2026). 2025/26 listino: high season 26 Dec 2025-6 Jan 2026 fixed EUR 52 at ticket office, online dynamic from EUR 39 (Tue-Thu) and promo EUR 27; keycard EUR 2.50; new 8-seat Blu chairlift planned for 2026/27; Prato Nevoso alone about 50 km, top about 2000 m (skiinfo/neveitalia).",https://pratonevoso.com/prato-nevoso-annuncia-lapertura-straordinaria-degli-impianti-sciistici-da-domenica-23-novembre/ | https://pratonevoso.com/prato-nevoso-apertura-totale-degli-impianti-da-giovedi-27-novembre/ | https://pratonevoso.com/listino-e-orari/ | https://www.skiresort.com/en/ski-resort/mondole-ski-artesina-frabosa-soprana-prato-nevoso/ | https://www.skiinfo.it/piemonte/prato-nevoso/stazione-sciistica | https://www.neveitalia.it/ski/pratonevoso | https://pratonevoso.com/webcam/,medium
77,Macugnaga,,IT,"Verbano-Cusio-Ossola, Piedmont",Macugnaga (Monte Moro),Non-glacier,2025-12-06,,skiinfo 2025/26 season record (official site blocked by proxy); 2026/27 not published,2900,32,Macugnaga local pass (Monte Moro + Belvedere; skiresort 32 km),34,34,EUR,estimated_from_2025_26,,45.96789,7.96815,3.5,3.5,"Wild, uncrowded off-piste under the Monte Rosa east face from Passo Moro (1000 m+ vertical) known to Piedmont freeriders; touring in Valle Anzasca/Passo Moro with sparse infrastructure.",https://www.bergfex.com/macugnaga/webcams/,200,"Monte Moro cable car: accident 30 Dec 2025 (cabin hit upper station, 6 injured); Bill-Monte Moro section judicially sequestered, released 17 Jul 2026, municipality ordered works to restore full operation for winter 2026/27 (not yet confirmed); Staffa-Alpe Bill funivia and Belvedere chairs reopened 19 Jul 2026 (Pecetto-Belvedere chair to be replaced by gondola); no lift-served glacier skiing (skiresort glacier tag refers to Monte Rosa views); 2900 m top only valid if Monte Moro section runs; price EUR 34 from dovesciare/skiresort (official macugnagamonterosaski.com blocked) - verify lift status before season; coordinates = Staffa (funivia base).",https://www.vconews.it/2026/07/17/leggi-notizia/argomenti/cronaca-28/articolo/macugnaga-dissequestrati-il-sentiero-per-lalpe-pedriola-e-la-funivia-bill-monte-moro-via-libera-a-1.html | https://www.dovesciare.it/news/localita/macugnaga/146 | https://www.dovesciare.it/localita/macugnaga | https://www.dovesciare.it/news/2025-12-30/macugnaga-incidente-alla-funivia-del-monte-moro | https://www.skiinfo.it/piemonte/macugnaga/stazione-sciistica | https://www.comune.macugnaga.vb.it/en-us/vivere-il-comune/sport/funivie-passo-moro-20879-1-00907555b3f5d3d8130c987be663441f | https://www.skiresort.com/en/ski-resort/macugnaga/ | https://www.bergfex.com/macugnaga/webcams/,low
78,Cervinia,Breuil-Cervinia,IT,"Aosta, Valle d'Aosta",Matterhorn Ski Paradise (Zermatt–Cervinia–Valtournenche),Glacier + non-glacier,2025-10-25,2026-10-24,dovesciare/aostasera Oct 2025; official 2026/27 tariff PDF and cervinia.it season dates,3480,150,Breuil-Cervinia + Valtournenche local pass (Italian side),64,64,EUR,published_2026_27,,45.93560,7.63044,3.5,4.0,"High open glacier off-piste (Ventina, Cieloalto) but mostly mellow, guide offices present; touring: Breithorn 4164 m from Plateau Rosa, Valtournenche classics, strong guide culture.",https://www.cervinia.it/en/webcam,200,"2026/27 official tariff (Cervino SpA, dated 04.05.2026): Breuil-Cervinia 24 Oct 2026-2 May 2027, Valtournenche 28 Nov 2026-25 Apr 2027; local adult 1-day EUR 64 flat (no seasonal tiers), international with Zermatt EUR 88; October glacier opening skis Plateau Rosa/Theodul (Swiss side, ID document required); 3480 m = Plateau Rosa/Testa Grigia on local pass (Klein Matterhorn 3883 m needs international pass); Glacier Ride II (Matterhorn Alpine Crossing) closed 7 Jan-26 Feb 2027 for maintenance; coordinates = Breuil-Cervinia village.",https://www.cervinia.it/en/ | https://drive.google.com/file/d/15SPVS6W4LUnCu5o-ofHpiZgkA6B9Siy1/view | https://www.dovesciare.it/news/2025-10-23/cervinia-si-scia-dal-25-ottobre-tutte-le-novita-linverno-20252026 | https://aostasera.it/notizie/turismo/dove-sciare-in-valle-daosta-skipass-impianti-e-piste-2025-2026/ | https://www.skiinfo.it/valle-daosta/cervinia/skipass | https://www.skiresort.com/en/ski-resort/zermatt-breuil-cervinia-valtournenche-matterhorn/ | https://www.cervinia.it/en/webcam,medium
79,Courmayeur,,IT,"Aosta, Valle d'Aosta",Courmayeur Mont Blanc,Glacier + non-glacier,2025-11-29,,aostasera/skilife 2025/26 round-up (partial opening 29 Nov); 2026/27 not yet published,3466,42,Courmayeur Checrouit-Val Veny local pass (skiresort 41.5 km); Skyway excluded,69,69,EUR,estimated_from_2025_26,,45.78996,6.96520,4.5,4.5,"Vallee Blanche and Toula glacier from Skyway, Arp couloirs and Val Veny off-piste with a big guide scene; touring hub for the Mont Blanc massif (Val Ferret/Val Veny classics, Haute Route variants).",https://www.courmayeurmontblanc.it/webcam-e-meteo/,200,"2025/26 official daily rates: EUR 69 high season (20 Dec-6 Jan, 24 Jan-8 Mar), EUR 63 regular; with Skyway Monte Bianco EUR 82/76 (page marked 'tariffe in aggiornamento'); 3466 m = Punta Helbronner via Skyway (separate ticket, off-piste glacier descents only), ski-area pistes top out at 2755 m (Cresta Youla); official claim 'oltre 100 km' includes off-piste; coordinates = Dolonne gondola base with main car park; lift-company domain courmayeur-montblanc.it fails SSL, .com works; webcam page is the tourism consortium's (lift company has none).",https://www.courmayeur-montblanc.com/skipass-e-tariffe/tariffe-giornaliere/ | https://aostasera.it/notizie/turismo/dove-sciare-in-valle-daosta-skipass-impianti-e-piste-2025-2026/ | https://www.skiresort.com/en/ski-resort/monte-bianco-courmayeur/ | https://www.skiresort.com/en/ski-resort/courmayeur-checrouit-val-veny/ | https://www.courmayeurmontblanc.it/webcam-e-meteo/,medium
