id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
134,Mayrhofen,,AT,Tyrol,Mayrhofen (Penken/Ahorn) – Zillertal 3000,Non-glacier,2025-12-05,2026-12-04,"official Mountopolis opening-hours page (2025/26 archived copy, 2026/27 live) + forum",2500,142,"Mayrhofen local pass (Penken/Ahorn/Rastkogel/Eggalm), skiresort.com 142 km",82,82,EUR,published_2026_27,,47.16342,11.86064,3.5,3.5,"Harakiri 78% piste and Penken/Rastkogel off-piste with local freeride guiding (skiresort 'top for freeriders'); Mayrhofen is the gateway for Zillertal Alps spring touring (Berliner Hütte, Schwarzenstein) and Tuxer Voralpen day tours.",https://www.mayrhofen.at/en/pages/livecams,200,"Fixed price: 1-day adult 79 EUR in 2025/26, 82 EUR (from 08:00) in 2026/27; Mayrhofen pass max 1.5 days, 2+ days only as Zillertaler Superskipass; 2025/26 Horberg+Penken opened 05.12.2025, Ahorn 13.12.2025; 2026/27 Ahorn from 12.12.2026; +2 EUR keycard deposit; from Italy via Brenner, no pass closures.",https://www.mayrhofen.at/en/stories/mountopolis-prices-and-opening-hours-winter | https://web.archive.org/web/20251206215909/https://www.mayrhofen.at/en/stories/mountopolis-prices-and-opening-hours-winter | https://www.skiresort.com/en/ski-resort/mayrhofen-penken-ahorn-rastkogel-eggalm-mountopolis/ | https://alpinfans.com/viewtopic.php?t=2881 | https://www.mayrhofen.at/en/pages/livecams,medium
135,Hintertux Glacier,Hintertuxer Gletscher,AT,Tyrol,Hintertux Glacier – Zillertal 3000,Glacier,2025-10-04,2026-10-03,winter-tariff start dates: official 2026/27 price page; 2025/26 per skiinfo price table,3250,64,Hintertux glacier-only 1-day pass; official 'up to 64 km',82,82,EUR,published_2026_27,,47.10683,11.67498,3.5,3.5,"Large glacier off-piste (Gefrorene Wand, Kaserer, Larmstange runs) with reliable snow and local guiding but no contest history; touring: classic Tuxer Alps spring objectives (Olperer, Hoher Riffler) from the glacier and Tuxer Joch, typical of Austrian glacier resorts.",https://www.hintertuxergletscher.at/de/skifahren/skigebietsinfo/webcams/,200,"Year-round glacier (365-day marketing); 2025/26: glacier reopened for skiing 27.09.2025 after late-summer break (forum), winter tariff 79 EUR valid 04.10.2025-10.05.2026; 2026/27: autumn tariff 68 EUR until 02.10.2026, winter tariff 82 EUR (from 08:00) 03.10.2026-07.05.2027, also valid in Ski- & Gletscherwelt Zillertal 3000 04.12.2026-11.04.2027; +2 EUR keycard; 2+ day tickets only as Zillertaler Superskipass; official webcam page is JS-rendered (alt. https://www.bergfex.com/hintertux/webcams/); from Italy via Brenner, Tux valley road open all year.",https://www.hintertuxergletscher.at/de/preise/ticketpreise/preise-hintertuxer-gletscher/ | https://www.hintertuxergletscher.at/de/skifahren/hintertuxer-gletscher/gletscherskigebiet/ | https://www.skiinfo.de/tirol/hintertuxer-gletscher/skipaesse | https://alpinfans.com/viewtopic.php?t=2840 | https://www.skiresort.com/en/ski-resort/hintertux-glacier-hintertuxer-gletscher/ | https://www.hintertuxergletscher.at/de/skifahren/skigebietsinfo/webcams/,medium
136,Hochzillertal–Hochfügen,,AT,Tyrol,Hochzillertal–Hochfügen (Kaltenbach/Fügen),Non-glacier,2025-11-22,2026-12-05,meinbezirk 20.11.2025 + forum (Hochfügen weekend ops); 2026/27 official price page,2378,91,Ski-optimal Hochzillertal-Hochfügen pass; official 'up to 90.7 km' (skiresort 89 km),83,83,EUR,published_2026_27,,47.28923,11.87286,3.5,3.0,"Hochfügen's high basin is a well-known Tyrolean freeride spot (skiresort: 'paradise for freeriders', untouched slopes into spring); Tuxer Voralpen give popular but moderate day tours (Gilfert, Rastkogel).",https://www.hochzillertal.com/aktuelles/live-cams,200,"2025/26: Hochfügen weekend ops 22-23 and 29-30.11.2025, Kaltenbach weekend 29-30.11.2025, continuous daily ops from 05.12.2025; 2026/27 continuous ops published 05.12.2026-11.04.2027 (earlier weekend openings possible, not published); price is full-day ticket from 07:30, no seasonal split, 1 EUR less with guest card; official highest point 'almost 2,400 m' (skiresort 2378 m); from Italy via Brenner, no pass closures.",https://www.hochzillertal.com/preise/skipass-preise | https://www.hochzillertal.com/ | https://www.meinbezirk.at/schwaz/c-lokales/hochzillertal-kaltenbach-startet-am-2911-in-die-skisaison_a7841921 | https://alpinfans.com/viewtopic.php?t=2887 | https://www.skiresort.com/en/ski-resort/kaltenbach-hochzillertal-hochfuegen-ski-optimal/ | https://www.hochzillertal.com/aktuelles/live-cams,medium
137,Zell am Ziller,,AT,Tyrol,Zillertal Arena,Non-glacier,2025-12-05,2026-12-04,official operating-hours page (2026/27); 2025/26 official announcement quoted in forum,2500,150,Zillertal Arena full pass (only pass sold); official 150 km,82,82,EUR,published_2026_27,,47.23719,11.89944,3.0,3.0,"Decent lift-accessed off-piste around Gerlos/Königsleiten (Isskogel, Übergangsjoch bowls) but no contest history or guiding scene of note; touring limited to moderate day tours from Gerlos (Kreuzjoch, Salzachgeier, Wildgerlostal).",https://www.zillertalarena.com/en/information-services/live-cams-weather/live-cams/,200,"2025/26 area opened 05.12.2025 (Karspitzbahn Zell, Gerlos, Königsleiten); Rosenalmbahn Zell reopened 12.12.2025 after modernisation; 2026/27 official start 04.12.2026 for all valley lifts (skiinfo aggregator lists 05.12/12.12.2026 - conflict, official used); fixed price, 1-day from 08:00 82 EUR, 2+ days = Zillertaler Superskipass; from Italy via Brenner, no pass closures.",https://www.zillertalarena.com/en/winter/ski-area/operating-hours/ | https://www.zillertalarena.com/en/zell/winter/ski-pass-prices/ | https://www.zillertalarena.com/en/winter/ski-area/ | https://www.skiresort.com/en/ski-resort/zillertal-arena-zell-am-ziller-gerlos-koenigsleiten-hochkrimml/ | https://alpinfans.com/viewtopic.php?t=2885 | https://www.skiinfo.de/zillertal-arena/saisoneroeffnung-skigebiete | https://www.zillertalarena.com/en/information-services/live-cams-weather/live-cams/,high
138,Gerlos,,AT,Tyrol,Zillertal Arena,Non-glacier,2025-12-05,2026-12-04,official operating-hours page (2026/27); 2025/26 official announcement quoted in forum,2500,150,Zillertal Arena full pass (only pass sold); official 150 km,82,82,EUR,published_2026_27,,47.22962,12.04903,3.0,3.0,"Decent lift-accessed off-piste around Gerlos/Königsleiten (Isskogel, Übergangsjoch bowls) but no contest history or guiding scene of note; touring limited to moderate day tours from Gerlos (Kreuzjoch, Salzachgeier, Wildgerlostal).",https://www.zillertalarena.com/en/information-services/live-cams-weather/live-cams/,200,"Base = Isskogelbahn valley station (Dorfbahn Gerlos alternative); 2025/26 Gerlos lifts opened 05.12.2025; 2026/27 official Isskogelbahn/Dorfbahn 04.12.2026-11.04.2027; Gerlos Alpine Road B165 (toll) open in winter; fixed price 82 EUR, 2+ days = Zillertaler Superskipass; from Italy via Brenner.",https://www.zillertalarena.com/en/winter/ski-area/operating-hours/ | https://www.zillertalarena.com/en/zell/winter/ski-pass-prices/ | https://www.zillertalarena.com/en/winter/ski-area/ | https://www.skiresort.com/en/ski-resort/zillertal-arena-zell-am-ziller-gerlos-koenigsleiten-hochkrimml/ | https://alpinfans.com/viewtopic.php?t=2885 | https://www.skiinfo.de/zillertal-arena/saisoneroeffnung-skigebiete | https://www.zillertalarena.com/en/information-services/live-cams-weather/live-cams/,high
139,Königsleiten–Wald,,AT,Salzburg,Zillertal Arena,Non-glacier,2025-12-05,2026-12-04,official operating-hours page (2026/27); 2025/26 official announcement quoted in forum,2500,150,Zillertal Arena full pass (only pass sold); official 150 km,82,82,EUR,published_2026_27,,47.25081,12.12219,3.0,3.0,"Decent lift-accessed off-piste around Gerlos/Königsleiten (Isskogel, Übergangsjoch bowls) but no contest history or guiding scene of note; touring limited to moderate day tours from Gerlos (Kreuzjoch, Salzachgeier, Wildgerlostal).",https://www.zillertalarena.com/en/information-services/live-cams-weather/live-cams/,200,"Base = Dorfbahn Königsleiten valley station (Wald im Pinzgau, Salzburg); 2025/26 opened 05.12.2025; 2026/27 official 04.12.2026-11.04.2027; access from Zillertal over Gerlos Alpine Road B165 (toll, open in winter) or from Mittersill (Felbertauern tunnel, toll); fixed price 82 EUR; incl. Hochkrimml lifts.",https://www.zillertalarena.com/en/winter/ski-area/operating-hours/ | https://www.zillertalarena.com/en/zell/winter/ski-pass-prices/ | https://www.zillertalarena.com/en/winter/ski-area/ | https://www.skiresort.com/en/ski-resort/zillertal-arena-zell-am-ziller-gerlos-koenigsleiten-hochkrimml/ | https://alpinfans.com/viewtopic.php?t=2885 | https://www.skiinfo.de/zillertal-arena/saisoneroeffnung-skigebiete | https://www.zillertalarena.com/en/information-services/live-cams-weather/live-cams/,high
140,Kitzbühel,,AT,Tyrol,KitzSki,Non-glacier,2025-11-07,2026-11-06,official KitzSki timetable 2026/27; 2025/26 snowplaza 30.10.2025 + forum photos 08.11.2025,2000,188,KitzSki full pass; skiresort 188 km pistes (+45 km ski routes),83,83,EUR,published_2026_27,,47.44323,12.38936,3.0,3.0,"Dedicated Bichlalm freeride area and Zweitausender/Resterhöhe off-piste, but low grass mountains with limited steep terrain and no contest history; touring: popular easy Kitzbühel Alps day tours (Bichlalm, Kitzbüheler Horn) with modest variety.",https://www.kitzski.at/en/current-info/webcams.html,200,"Price = Premium-Saison 20.12.2026-13.03.2027 ticket-office price 83 EUR (Vorteils 76, Spar 69); online booking cheaper (flexible online pricing); 2025/26: Resterkogel (Pass Thurn) from 07.11.2025 weekends only via snow-farming, Hahnenkamm/Fleckalm from 22.11.2025, Horn 06.12.2025, full link 12.12.2025; 2026/27 Resterkogel 06.11.2026, Hahnenkamm 21-22.11.2026, core area 27/28.11.2026; base = Hahnenkammbahn; from Italy via Brenner-Inntal or Felbertauern tunnel (toll) + Pass Thurn (open winter).",https://www.kitzski.at/de/fahrplan-winter-2024-25.html | https://www.kitzski.at/media/preise-26-27-hp-de.pdf | https://www.kitzbueheler-alpen.com/de/bri/wi/ski/kitzski-preise.html | https://www.snowplaza.de/weblog/ski-fahren-ab-november-kitzbuehel-setzt-auf-innovative-schneespeicherung/ | https://alpinfans.com/viewtopic.php?t=2857 | https://www.skiresort.com/en/ski-resort/kitzski-kitzbuehel-kirchberg/ | https://www.kitzski.at/en/current-info/webcams.html,medium
141,Kirchberg in Tirol,,AT,Tyrol,KitzSki,Non-glacier,2025-11-07,2026-11-06,official KitzSki timetable 2026/27; 2025/26 snowplaza 30.10.2025 + forum photos 08.11.2025,2000,188,KitzSki full pass; skiresort 188 km pistes (+45 km ski routes),83,83,EUR,published_2026_27,,47.45038,12.33508,3.0,3.0,"Dedicated Bichlalm freeride area and Zweitausender/Resterhöhe off-piste, but low grass mountains with limited steep terrain and no contest history; touring: popular easy Kitzbühel Alps day tours (Bichlalm, Kitzbüheler Horn) with modest variety.",https://www.kitzski.at/en/current-info/webcams.html,200,"Area date 07.11.2025 refers to Resterkogel (Pass Thurn); Kirchberg's own Fleckalmbahn ran from 22.11.2025 (2026/27 planned 27/28.11.2026); base = Fleckalmbahn valley station at Klausen (Maierlbahn in village alternative); price = Premium-Saison 20.12.2026-13.03.2027 ticket-office 83 EUR, online cheaper (flexible pricing); from Italy via Brenner-Inntal or Felbertauern (toll).",https://www.kitzski.at/de/fahrplan-winter-2024-25.html | https://www.kitzski.at/media/preise-26-27-hp-de.pdf | https://www.kitzbueheler-alpen.com/de/bri/wi/ski/kitzski-preise.html | https://www.snowplaza.de/weblog/ski-fahren-ab-november-kitzbuehel-setzt-auf-innovative-schneespeicherung/ | https://alpinfans.com/viewtopic.php?t=2857 | https://www.skiresort.com/en/ski-resort/kitzski-kitzbuehel-kirchberg/ | https://www.kitzski.at/en/current-info/webcams.html,medium
142,Söll,,AT,Tyrol,SkiWelt Wilder Kaiser-Brixental,Non-glacier,2025-11-29,2026-12-05,SkiWelt media release 26.11.2025 + forum reports; 2026/27 official season-start page,1869,275,SkiWelt full pass (only pass sold); official 'over 275 km',79.5,79.5,EUR,published_2026_27,,47.49629,12.19831,2.0,2.5,"Low rolling grass mountains (max 1869 m) with little serious off-piste and no freeride scene; touring limited to short easy tours (Hohe Salve, Brandstadl) with poor snow reliability.",https://www.skiwelt.at/en/webcams-in-winter.html,200,"Price = high season 19.12.2026-12.03.2027 79.50 EUR (low season 71.50), fixed table but online pre-sale discounts; max elevation from skiresort (official facts page gives none); 2025/26 weekend ops 29-30.11.2025 with Söll linked to Hopfgarten-Brixen-Scheffau-Ellmau, daily ops from 06.12.2025; base = Hexenwasser gondola (Hochsöll) valley station; from Italy via Brenner-Inntal, no passes.",https://www.skiwelt.at/en/ski-passes.html | https://www.skiwelt.at/en/skiwelt-season-start.html | https://media.skiwelt.at/de/frueher-saisonstart.html | https://www.skiwelt.at/en/skiwelt-wilder-kaiser-brixental.html | https://www.skiresort.com/en/ski-resort/skiwelt-wilder-kaiser-brixental/ | https://alpinfans.com/viewtopic.php?t=2861 | https://www.skiwelt.at/en/webcams-in-winter.html,medium
143,Ellmau,,AT,Tyrol,SkiWelt Wilder Kaiser-Brixental,Non-glacier,2025-11-29,2026-12-05,SkiWelt media release 26.11.2025 + forum reports; 2026/27 official season-start page,1869,275,SkiWelt full pass (only pass sold); official 'over 275 km',79.5,79.5,EUR,published_2026_27,,47.50784,12.29313,2.0,2.5,"Low rolling grass mountains (max 1869 m) with little serious off-piste and no freeride scene; touring limited to short easy tours (Hohe Salve, Brandstadl) with poor snow reliability.",https://www.skiwelt.at/en/webcams-in-winter.html,200,"Price = high season 19.12.2026-12.03.2027 79.50 EUR (low season 71.50), fixed table but online pre-sale discounts; max elevation from skiresort (official facts page gives none); 2025/26 weekend ops 29-30.11.2025, Ellmau daily ops from 05.12.2025 (others 06.12); Ellmau runs the extended season to 04.04.2027; Going shares the Ellmau sector; base = Hartkaiserbahn; from Italy via Brenner-Inntal.",https://www.skiwelt.at/en/ski-passes.html | https://www.skiwelt.at/en/skiwelt-season-start.html | https://media.skiwelt.at/de/frueher-saisonstart.html | https://www.skiwelt.at/en/skiwelt-wilder-kaiser-brixental.html | https://www.skiresort.com/en/ski-resort/skiwelt-wilder-kaiser-brixental/ | https://alpinfans.com/viewtopic.php?t=2861 | https://www.skiwelt.at/en/webcams-in-winter.html,medium
