id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
111,St. Anton am Arlberg,,AT,Tyrol,Ski Arlberg,Non-glacier,2025-12-03,2026-12-02,St. Anton official 2025/26 season-times PDF; skiarlberg.at season-times page for 2026/27,2811,300,Ski Arlberg full linked-area pass (only pass sold),85,85,EUR,published_2026_27,,47.12818,10.26286,5.0,3.5,Rubric anchor 5.0: Valluga/Schindlergrat/Stuben backside with deep guide scene; Verwall day tours good but touring less varied than glacier hubs.,https://www.skiarlberg.at/en/st-anton/live-info/webcams,200,2026/27 high-season tariff (19.12.26-02.04.27) 85 EUR from Ski Arlberg tariff table on partner site; skiarlberg.at itself says 26/27 rates still being finalised; 2025/26 high season was 81.50. Wedel/sun-ski weeks 80.50. Arlberg pass road and tunnel open in winter. skiresort.com measures 299.7 km. Official St. Anton webcam page (stantonamarlberg.com/en/webcams) returned 503 at final check (200 earlier); official Ski Arlberg lift-company St. Anton webcam page used instead.,https://www.skiarlberg.at/en/lech-zuers/tickets-season-times/season-times | https://www.stantonamarlberg.com/images/stories/pdf-dateien/saisonzeiten/saisonzeiten2025-2026.pdf | https://www.lechtaler-bergbahnen.at/de/ski-arlberg-tarife-winter.html | https://www.skiarlberg.at/en/tickets-season-times/prices-tickets-winter-coming-soon | https://www.skiresort.com/en/ski-resort/st-anton-st-christoph-stuben-lech-zuers-warth-schroecken-ski-arlberg/ | https://www.schneehoehen.de/artikel/sankt-anton-saisonstart-2025-2025-festival | https://www.skiarlberg.at/en/st-anton/live-info/webcams,high
112,Lech–Zürs,,AT,Vorarlberg,Ski Arlberg,Non-glacier,2025-12-03,2026-12-02,"Ski Arlberg official season times (2025/26 PDF, 2026/27 web page); gsi.news 5 Dec 2025 report",2811,300,Ski Arlberg full linked-area pass (only pass sold),85,85,EUR,published_2026_27,,47.20798,10.14243,4.5,3.5,"Rubric anchor 4.5: famous Zuers/Madloch/Zuger Hochlicht off-piste and Austria's only heli-skiing, strong guide scene; touring (Lechquellen) decent but secondary.",https://www.lechzuers.com/en/live-infos/webcams,200,Base = Ruefikopfbahn I valley station in Lech centre. Flexenpass road Stuben-Zuers-Lech open in winter (galleries); Lech-Warth road closed in winter (ski link via Auenfeldjet). Price = Ski Arlberg 2026/27 high-season tariff from partner tariff table (skiarlberg.at says rates being finalised); 2025/26 was 81.50.,https://www.skiarlberg.at/en/lech-zuers/tickets-season-times/season-times | https://www.stantonamarlberg.com/images/stories/pdf-dateien/saisonzeiten/saisonzeiten2025-2026.pdf | https://www.lechtaler-bergbahnen.at/de/ski-arlberg-tarife-winter.html | https://www.gsi-news.at/2025/12/05/schneereicher-ski-saisonstart-in-lech-zuers-am-arlberg/ | https://www.skiresort.com/en/ski-resort/st-anton-st-christoph-stuben-lech-zuers-warth-schroecken-ski-arlberg/,high
113,Warth–Schröcken,,AT,Vorarlberg,Ski Arlberg,Non-glacier,2025-12-05,2026-12-04,Ski Arlberg official season times (Warth-Schroecken opens 2 days after St. Anton/Lech),2811,300,Ski Arlberg full linked-area pass (only pass sold),85,85,EUR,published_2026_27,,47.26002,10.1757,4.0,3.5,"Snowiest sector of the Arlberg (approx. 11 m/season) with well-documented tree and bowl off-piste, linked to Lech-Zuers terrain; touring in Bregenzerwald/Lechquellen moderate.",https://www.bergfex.com/warth-schroecken/webcams/,200,"Local Warth-Schroecken lifts top out around 2050 m; 2811 m is the Ski Arlberg pass maximum (linked via Auenfeldjet). Hochtannberg pass road (Bregenzerwald side) normally open in winter; Warth-Lech road closed in winter. Base = Steffisalp-Express valley station, Warth (OSM/Nominatim). Price = Ski Arlberg 2026/27 high-season tariff (partner tariff table). skiinfo.de lists 5 Dec 2026 as planned opening vs official 4 Dec.",https://www.skiarlberg.at/en/lech-zuers/tickets-season-times/season-times | https://www.lechtaler-bergbahnen.at/de/ski-arlberg-tarife-winter.html | https://www.warth-schroecken.at/en/winter/rates/tickets-ski-arlberg.html | https://www.skiresort.com/en/ski-resort/st-anton-st-christoph-stuben-lech-zuers-warth-schroecken-ski-arlberg/ | https://www.bergfex.com/warth-schroecken/webcams/ | https://www.skiinfo.de/vorarlberg/saisoneroeffnung-skigebiete,medium
114,Ischgl,,AT,Tyrol,Silvretta Arena (Ischgl–Samnaun),Non-glacier,2025-11-27,2026-11-26,Ischgl official event/skipass pages (Silvretta Arena opened 27 Nov 2025; START period from 26 Nov 2026),2872,239,VIP Skipass Ischgl-Samnaun (whole Silvretta Arena),83,83,EUR,published_2026_27,,47.01014,10.28801,4.0,4.0,"Large high resort with well-known off-piste (Piz Val Gronda, Palinkopf, Samnaun side) and guide offices; rubric anchor 4.0 for touring (Paznaun/Silvretta day tours from Ischgl).",https://www.ischgl.com/en/plan-your-trip/webcams,200,"Fixed price list, no dynamic pricing: 1-day VIP Skipass 83 EUR for 2026/27 (unchanged from 2025/26), same in START/main/FIRN periods; day pass also valid on the Swiss Samnaun side. Base = Silvrettabahn A1 valley station in Ischgl village (OSM). Paznaun valley road open in winter.",https://www.ischgl.com/en/winter/operating-times-prices/skipass-prices-vip | https://tickets.ischgl.com/de/winter/support/prices | https://www.ischgl.com/en/events-experiences/topevents/top-of-the-mountain-opening-concert_event_55277883 | https://www.tyrol.com/activities/events/all-events/top-of-the-mountain-opening-concert | https://www.skiresort.com/en/ski-resort/ischgl-samnaun-silvretta-arena/,high
115,Kappl,,AT,Tyrol,Kappl (Paznaun),Non-glacier,2025-12-12,2026-12-11,Kappl official event page (Skischaukel opening 12 Dec 2025); kappl-see.com operating times 2026/27,2690,85,Kappl & See combined day pass (two ski-bus-linked areas; only ticket sold),73,73,EUR,published_2026_27,,47.06036,10.3742,4.0,3.5,Regular Open Faces FWQ 3* venue and host of Freeride Junior World Championships (Quellspitze faces); touring in Paznaun/Verwall decent but less known than Galtuer.,https://www.kappl-see.com/en/live-info/webcams,200,"No Kappl-only day ticket: 1-day pass covers Kappl and See (approx. 85 km, 20 lifts); Kappl alone approx. 36-42 km. Single fixed price all season (73 EUR 2026/27). New 10-seat Diasbahn opened Dec 2025. Elevation from skiresort.com. skiinfo.de lists 19 Dec 2026 as planned opening vs official 11 Dec.",https://www.kappl-see.com/en/tickets-prices/operating-times-prices | https://www.kappl.com/de/veranstaltungen-erlebnisse/topevents/skischaukel-opening-neuer-ffnung-diasbahn_event_117588079 | https://www.kappl.com/en/bergbahnen-kappl/facilities/diasbahn-new | https://www.skiresort.com/en/ski-resort/kappl/ | https://www.bergfex.com/kappl/preise/,medium
116,Galtür,,AT,Tyrol,Galtür Silvapark (Paznaun),Non-glacier,2025-12-05,2026-12-04,Galtuer official ski-opening event page (season 2025/26 from 5 Dec 2025); official price page 2026/27,2300,43,Silvapark Galtuer local day pass,58.5,58.5,EUR,published_2026_27,,46.96463,10.16223,3.5,4.5,"Silvapark has dedicated freeride sectors but limited size; Galtuer is a classic Silvretta ski-touring base (Jamtalhuette, Piz Buin, Silvretta traverse, guide-led touring weeks).",https://www.galtuer.com/en/plan-your-trip/webcams,200,"Peak-season 1-day 58.50 EUR (19.12.26-11.04.27), low season 55.50 (4-18 Dec 2026). Silvretta-Hochalpenstrasse (Bielerhoehe) closed in winter, Galtuer is the road end of the Paznaun. Base = Birkhahnbahn valley station, Wirl (1635 m). Elevation/km from skiresort.com.",https://www.galtuer.com/en/winter/operating-times-prices/skipass-prices-silvapark | https://www.galtuer.com/de/veranstaltungen-erlebnisse/topevents/galt-r-ski-opening_event_39796715 | https://www.skiresort.com/en/ski-resort/galtuer-silvapark/ | https://www.bergfex.com/silvapark-galtuer/preise/,medium
117,Serfaus-Fiss-Ladis,,AT,Tyrol,Serfaus-Fiss-Ladis,Non-glacier,2025-12-05,2026-12-04,Official season-start page/2025-26 price periods (Snow Start 5 Dec 2025); 2026/27 bergfex+skiinfo (skiresort says 5 Dec),2828,214,SFL local pass; official 214 km incl. 28 km ski routes (skiresort 186 km pistes),78,78,EUR,estimated_from_2025_26,,47.05717,10.61299,3.0,3.0,Family/on-piste oriented resort with some marked ski routes but no notable freeride reputation; limited touring (Samnaun group day tours).,https://www.bergfex.com/serfaus-fiss-ladis/webcams/,200,"Fixed season pricing 2025/26: high 78, low 77, Snow Start 65; 2026/27 prices not yet published. Base = Schoenjochbahn valley station in Fiss (direct car park); Serfaus village is traffic-calmed (park at entrance, Dorfbahn underground to Komperdellbahn). 2026/27 opening 4 Dec 2026 per bergfex/skiinfo/skinachrichten, skiresort.com shows 5 Dec.",https://www.serfaus-fiss-ladis.at/de/winterurlaub/saisonstart | https://www.bergfex.com/serfaus-fiss-ladis/preise/ | https://www.bergfex.com/serfaus-fiss-ladis/ | https://www.skiresort.com/en/ski-resort/serfaus-fiss-ladis/ | https://www.skiinfo.de/tirol/saisoneroeffnung-skigebiete,medium
118,Nauders,,AT,Tyrol,Nauders am Reschenpass,Non-glacier,2025-12-12,2026-12-05,"2025/26 from local hotel blog/skiinfo (opening offer 12-19 Dec 2025, not official); 2026/27 skiresort+skiinfo",2750,75,Nauders-Bergkastel 1-day pass (Nauders only),70,70,EUR,published_2026_27,,46.87546,10.50892,3.0,3.5,"Mainly on-piste family area with 11 km ski routes; decent local touring on the Reschen ridge (Piz Lad, Zehnerkopf, Schwarze Wand) but limited variety.",https://www.bergfex.com/nauders/webcams/,200,Reschenpass (1504 m) open in winter: most direct Milan route via Bolzano/Val Venosta. 2026/27 adult day pass 70 EUR in all high/low/top periods (pre/late season 45.50) per bergfex price list; online pre-sale cheaper (2025/26 'from 67'). Multi-day passes cover the Two-Country Skiarena with Schoeneben/Haideralm (IT). Base = Bergkastelbahn valley station.,https://www.bergfex.com/nauders/preise/ | https://www.skiresort.com/en/ski-resort/nauders-am-reschenpass-bergkastel/ | https://blog.post-nauders.com/skigebiet-bergkastel-neuigkeiten-und-besonderheiten-2025/ | https://www.skiinfo.de/tirol/nauders/skipaesse | https://www.skiinfo.de/tirol/saisoneroeffnung-skigebiete,medium
119,Sölden,,AT,Tyrol,Sölden,Glacier + non-glacier,2025-10-02,2026-10-02,"Glacier opened Thu 2 Oct 2025 (snowplaza/schneehoehen reports); 2026/27 glacier 2 Oct per bergfex/skiinfo, official says 'early October'",3340,144,Soelden local pass (Bergbahnen Soelden figure; tourism site says 147 km),86.5,86.5,EUR,published_2026_27,,46.95997,11.00929,4.0,3.5,"Rubric anchors: 4.0 freeride (glacier and Gaislachkogl off-piste, big-mountain terrain), 3.5 touring (good local tours, Vent/Obergurgl nearby are the real hubs).",https://www.soelden.com/en/live-information/livecams,200,"Dynamic pricing: 86.50 is the 2026/27 peak-season cash-desk price (19.12.26-06.01.27, 30.01-26.02.27); main season 84.50, pre-season 81; online up to ~22% cheaper. Winter (non-glacier) area opens 12 Nov 2026 (13 Nov 2025 last year). Autumn glacier-only operation requires driving the toll Oetztal Glacier Road to the Rettenbach car park (2670 m). Timmelsjoch closed in winter. 2026/27 glacier date conflicting: 25 Sep (snowplaza), 2 Oct (bergfex/skiinfo), 4 Oct (schneehoehen).",https://www.soelden.com/en/activities/winter/skiing-snowboarding/skipasses-prices/winter | https://www.soelden.com/en/activities/winter/skiing-snowboarding | https://bergbahnen.soelden.com/ | https://www.snowplaza.de/weblog/soelden-skistart-2025-gletschergebiet-ab-heute-offen-alle-infos-zu-liften-und-pisten/ | https://www.snowplaza.de/weblog/frueher-saisonstart-in-soelden-34-pistenkilometer-ab-anfang-oktober-offen/ | https://www.bergfex.com/soelden/ | https://www.skiresort.com/en/ski-resort/soelden/,high
120,Obergurgl–Hochgurgl,,AT,Tyrol,Gurgl,Non-glacier,2025-11-20,2026-11-19,alpinfans.com forum: planned 20 Nov 2025 with opening-day reports; official gurgl.com price page for 2026/27,3030,112,Gurgl (Obergurgl-Hochgurgl) 1-day pass,75.5,75.5,EUR,published_2026_27,,46.87572,11.03308,4.0,3.5,Open Faces FWQ venue (Gurgl) with extensive high off-piste on both Obergurgl and Hochgurgl sides; rubric anchor 3.5 for touring (Obergurgl).,https://www.gurgl.com/en/live-information/livecams,200,"Dynamic pricing: 75.50 = 2026/27 peak-season spot (cash-desk) price, high season 69.50, pre-season 64; online early booking cheaper. 1- and 2-day tickets valid only in Gurgl (3+ days Oetztal Superskipass). Timmelsjoch closed in winter. Base = Festkoglbahn valley station car park at Obergurgl entrance. 2025/26 date from forum reports, not an official notice.",https://www.gurgl.com/en/activities/winter/skiing-snowboarding/ski-passes-prices/ski-pass-prices | https://www.gurgl.com/en/activities/winter/skiing-snowboarding/ski-area-information | https://alpinfans.com/viewtopic.php?t=2879 | https://www.skiresort.com/en/ski-resort/gurgl-obergurgl-hochgurgl/,medium
