id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
20,Le Corbier,,FR,Savoie,Les Sybelles,Non-glacier,2025-12-13,2026-12-12,Official Sybelles opening page/tariff PDF (25/26); 26/27 press kit + Saint-Jean lift company site,2620,275,Les Sybelles linked pass (skiresort.com figure),60.50,60.50,EUR,published_2026_27,,45.24016,6.26823,2.5,3.0,"Family-oriented linked domain with marked freeride zones but no FWT/FWQ history or documented off-piste classics; touring interest lies on the Saint-Sorlin side (Aiguilles d'Arves), little from Le Corbier itself.",https://www.sybelles.ski/en/discover-les-sybelles/le-corbier/webcam-le-corbier/,200,"Single fixed day price all season (59.30 in 2025/26, 60.50 in 2026/27) plus 30 EUR Saturday web promo and -10% from 21 Mar; no official km figure found so skiresort 275 km used (resort markets a higher figure); 2026/27 season 12 Dec 2026-9 Apr 2027; access from Italy via Frejus tunnel and A43, no pass.",https://www.sybelles.ski/en/temps-fort/opening/ | https://www.sybelles.ski/app/uploads/2025/09/a1-rm-tarifs-publics-sybelles-2025-2026-v16-04-2025.pdf | https://www.sja73.com/forfait-domaine-les-sybelles.html | https://www.alternativemedia.fr/les-sybelles-devoilent-leur-dossier-de-presse-2026-2027-cap-sur-une-domaine-inoubliable | https://www.sybelles.ski/en/discover-les-sybelles/ | https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/ | https://www.parcsetloisirs.fr/actualite/saison-de-ski-2026-2027-les-dates-douverture-de-toutes-les-stations-des-alpes-departement-par-departement,medium
21,La Toussuire,,FR,Savoie,Les Sybelles,Non-glacier,2025-12-13,2026-12-12,Official Sybelles opening page/tariff PDF (25/26); 26/27 press kit + Saint-Jean lift company site,2620,275,Les Sybelles linked pass (skiresort.com figure),60.50,60.50,EUR,published_2026_27,,45.25577,6.26267,2.5,3.0,"Sunny plateau resort of the Sybelles, mostly groomed intermediate terrain with a few freeride zones and no competition history; touring limited to local summits (Tete de Bellard, Ouillon) with better classics reached from Saint-Sorlin.",https://www.sybelles.ski/en/discover-les-sybelles/la-toussuire/webcam-la-toussuire/,200,"Same Sybelles pass and dates as Le Corbier; single fixed day price (59.30 in 2025/26, 60.50 in 2026/27); skiresort km used as no official km figure found; access from Italy via Frejus tunnel and A43.",https://www.sybelles.ski/en/temps-fort/opening/ | https://www.sybelles.ski/app/uploads/2025/09/a1-rm-tarifs-publics-sybelles-2025-2026-v16-04-2025.pdf | https://www.sja73.com/forfait-domaine-les-sybelles.html | https://www.alternativemedia.fr/les-sybelles-devoilent-leur-dossier-de-presse-2026-2027-cap-sur-une-domaine-inoubliable | https://la-toussuire.com/info-live/webcams/ | https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,medium
22,Saint-Sorlin-d'Arves,,FR,Savoie,Les Sybelles,Non-glacier,2025-12-13,2026-12-12,Official Sybelles opening page/tariff PDF (25/26); 26/27 press kit + Saint-Jean lift company site,2620,275,Les Sybelles linked pass (skiresort.com figure),60.50,60.50,EUR,published_2026_27,,45.21760,6.22954,3.0,3.5,"Highest and steepest Sybelles sector (Les Perrons 2620 m) with the domain's best lift-served off-piste; genuine touring base for Aiguilles d'Arves, Etendard and Col de la Croix de Fer classics, though no big guide scene.",https://www.sybelles.ski/en/discover-les-sybelles/saint-sorlin-darves/webcam-saint-sorlin-darves-les-sybelles/,200,"Village base at Plan du Moulin Express bottom station (1500 m); Col de la Croix de Fer and Col du Glandon closed in winter (dead end above the village); same Sybelles pass, dates and fixed day price as Le Corbier; skiresort km used.",https://www.sybelles.ski/en/temps-fort/opening/ | https://www.sybelles.ski/app/uploads/2025/09/a1-rm-tarifs-publics-sybelles-2025-2026-v16-04-2025.pdf | https://www.sja73.com/forfait-domaine-les-sybelles.html | https://www.alternativemedia.fr/les-sybelles-devoilent-leur-dossier-de-presse-2026-2027-cap-sur-une-domaine-inoubliable | https://www.saintsorlindarves.com/webcams | https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,medium
23,Saint-Jean-d'Arves,,FR,Savoie,Les Sybelles,Non-glacier,2025-12-13,2026-12-12,Official Sybelles opening page/tariff PDF (25/26); 26/27 dates and price on Saint-Jean lift company site,2620,275,Les Sybelles linked pass (skiresort.com figure),60.50,60.50,EUR,published_2026_27,,45.21493,6.26006,2.5,3.0,"Small village sector (La Chal, Charvin Express) feeding the Sybelles link, mostly groomed terrain with no freeride pedigree; touring shares the Arves valley classics but starts are better from Saint-Sorlin.",https://www.sja73.com/webcams.html,200,"Ski base is the hamlet of La Chal (1600 m), not the lower village; same Sybelles pass, dates and fixed day price as Le Corbier (sja73.com lists 1 jour 60.50 for 12 Dec 2026-9 Apr 2027); skiresort km used.",https://www.sja73.com/forfait-domaine-les-sybelles.html | https://www.sybelles.ski/en/temps-fort/opening/ | https://www.sybelles.ski/app/uploads/2025/09/a1-rm-tarifs-publics-sybelles-2025-2026-v16-04-2025.pdf | https://www.alternativemedia.fr/les-sybelles-devoilent-leur-dossier-de-presse-2026-2027-cap-sur-une-domaine-inoubliable | https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,medium
24,Valloire,,FR,Savoie,Galibier-Thabor,Non-glacier,2025-12-06,2026-12-05,"Official Galibier-Thabor tariff PDF 25/26 (pre-opening weekend, snow permitting); valloire.net 26/27 dates page",2750,160,Galibier-Thabor linked pass (Valloire + Valmeinier),54.90,54.90,EUR,published_2026_27,,45.16500,6.42964,3.0,3.5,"Some lift-served off-piste (Crey du Quart and Setaz combes, Thabor side) but no freeride competition pedigree; well-known spring touring base for Galibier, Cerces and Aiguilles d'Arves classics (Grand Galibier, Pointe des Cerces).",https://www.valloire.net/en/webcams-valloire/,200,"Col du Galibier closed in winter (access via Saint-Michel-de-Maurienne and Col du Telegraphe, kept open); 2025/26 first lifts = planned pre-opening weekend 6-7 Dec 2025 on one massif at 20 EUR, operation not independently confirmed, Valloire-only 13-19 Dec then full Galibier-Thabor 20 Dec 2025; 2026/27 pattern identical (5-6 Dec pre-opening, Valloire-only 12-18 Dec, full domain 19 Dec 2026-9 Apr 2027); 2025/26 adult day 53.60; cheaper Valloire-only pass exists only in the early-season week.",https://www.mairie-valloire.fr/InfoliveDocuments/galibier_thabor-tarifs_publics_hiver_2025-26.pdf | https://www.valloire.net/en/profiter-de-valloire/le-ski/sur-les-pistes/ouverture-des-pistes/ | https://skipass.valloire.com/fr/tous-les-tarifs | https://www.skipass-valmeinier.com/media/download/valmeinierb2c/cms/media/GT%20TP%202627%20fr.pdf | https://www.skipass-valmeinier.com/fr/ | https://www.skiresort.com/en/ski-resort/galibier-thabor-valmeinier-valloire/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/,medium
25,Valmeinier,,FR,Savoie,Galibier-Thabor,Non-glacier,2025-12-13,2026-12-12,"France Montagnes 25/26 calendar (pre-opening week, snow permitting); official 26/27 tariff PDF + valmeinier.com",2750,160,Galibier-Thabor linked pass (Valloire + Valmeinier),54.90,54.90,EUR,published_2026_27,,45.17574,6.49353,3.0,3.5,"Thabor sector gives lift-served off-piste bowls and couloirs but the resort has no freeride event history; touring towards Mont Thabor and the Cerces massif is well documented, without a large guide scene.",https://www.valmeinier.com/en/webcams-almeinier/,200,"Base taken as Valmeinier 1800 (main lifts, end of road) rather than Valmeinier 1500 village; 2026/27 pre-opening week 12-18 Dec 2026 limited to the Valmeinier sector (Gros Crey), full Galibier-Thabor from 19 Dec 2026; 2025/26 planned pre-opening 13 Dec then full domain 20 Dec 2025, actual not confirmed; 2025/26 adult day 53.60; Saturday web promo 27.40/41.20.",https://www.skipass-valmeinier.com/media/download/valmeinierb2c/cms/media/GT%20TP%202627%20fr.pdf | https://www.skipass-valmeinier.com/media/download/valmeinierb2c/cms/media/startH26-27fr.pdf | https://www.skipass-valmeinier.com/fr/ | https://www.valmeinier.com/en/ | https://www.mairie-valloire.fr/InfoliveDocuments/galibier_thabor-tarifs_publics_hiver_2025-26.pdf | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skiresort.com/en/ski-resort/galibier-thabor-valmeinier-valloire/,medium
26,Val Cenis,,FR,Savoie,Val Cenis (Haute Maurienne Vanoise),Non-glacier,2025-12-13,2026-12-12,France Montagnes 25/26 calendar; official valcenis.com 26/27 (Tous en Piste 12-13 Dec 2026),2800,125,Val Cenis local pass (Lanslebourg/Lanslevillard/Termignon),50.00,50.00,EUR,published_2026_27,,45.28918,6.91156,3.0,3.5,"North-facing, snow-sure domain with some off-piste under the Mont-Cenis ridge but a mainly on-piste family profile; Haute Maurienne is a major French touring valley (Vanoise classics) though the hubs are Bessans and Bonneval rather than Val Cenis.",https://www.valcenis.com/en/webcams/,200,"Col du Mont-Cenis closed in winter, so access from Italy is via the Frejus tunnel and Modane; base = Lanslevillard (Val Cenis le Haut gondola); 2025/26 official calendar said Sat 13 Dec 2025 while one aggregator says 14 Dec; valcenis.com domain page says 12 Dec 2026 but its pass page says Sunday 13 Dec 2026 for the discount week; 2025/26 adult day about 49.50 (skiresort); 6-day+ passes add one day at each other Haute Maurienne Vanoise resort.",https://www.valcenis.com/en/ski-et-glisse/le-domaine-alpin-de-val-cenis/ | https://www.valcenis.com/en/ski-et-glisse/les-forfaits-de-ski/ | https://www.valcenis.com/en/agenda/agenda-des-evenements/tous-en-piste/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skiresort.com/en/ski-resort/val-cenis-lanslevillard-lanslebourg-termignon/ | https://www.parcsetloisirs.fr/actualite/saison-de-ski-2026-2027-les-dates-douverture-de-toutes-les-stations-des-alpes-departement-par-departement,medium
27,Valfréjus,,FR,Savoie,Valfréjus,Non-glacier,2025-12-20,2026-12-19,valfrejus.ski season dates (25/26 pass page; 26/27 pass page 19 Dec 2026-9 Apr 2027),2737,70,"Valfrejus area; day pass also valid at La Norma (135 km, shuttle)",43.60,43.60,EUR,published_2026_27,,45.17368,6.65433,3.5,3.0,"Locally reputed for steep larch-forest and Punta Bagna (2737 m) off-piste on north-facing slopes, but a small area without competition history; touring limited to Mont Thabor and Frejus valley routes.",https://www.valfrejus.ski/webcams/,200,Closest FR2 resort to the Frejus tunnel exit (about 10 km above Modane); 2025/26 adult day 43.00; free shuttle to La Norma every 45 min and the pass is shared between the two unlinked areas; Parcs & Loisirs lists 20 Dec 2026 but the operator site says Sat 19 Dec 2026.,https://www.valfrejus.ski/en/ski-passes-prices/ | https://www.valfrejus.com/en/ski-et-glisse/le-domaine-skiable/ | https://www.valfrejus.ski/webcams/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skiresort.com/en/ski-resort/valfrejus/,high
28,La Norma,,FR,Savoie,La Norma,Non-glacier,2025-12-20,2026-12-19,la-norma.ski official season dates (25/26 info page; 26/27 tariff page 19 Dec 2026-9 Apr 2027),2750,65,"La Norma area; day pass also valid at Valfrejus (135 km, shuttle)",43.60,43.60,EUR,published_2026_27,,45.20145,6.69704,2.5,3.0,Car-free family resort whose off-piste is limited to tree runs between pistes below the 2750 m summit; Vanoise touring is nearby but the resort itself is not a touring base.,https://www.la-norma.ski/webcams/,200,Car-free resort at 1350 m with a free underground car park at the entrance (5 km above Villarodin-Bourget); 2025/26 adult day 43.00; Saturday web promo 31 EUR; 2026/27 keycard 2 EUR extra.,https://www.la-norma.ski/tarifs-forfaits-de-ski/ | https://www.la-norma.ski/infos-utiles-hiver/ | https://www.la-norma.fr/en/ski-et-glisse/le-domaine-skiable/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skiresort.com/en/ski-resort/la-norma/,high
29,Les Karellis,,FR,Savoie,Les Karellis,Non-glacier,2025-12-20,2026-12-19,leskarellis.com official ticketing site (25/26 season 20 Dec-11 Apr; 26/27 tariff page 19 Dec-10 Apr),2520,60,Les Karellis local pass,36.00,36.00,EUR,published_2026_27,,45.22857,6.40646,3.0,3.0,"North-north-east facing area that promotes secured off-piste inside the domain (Fontagnoux, Chaudannes) and holds snow well, but small and little known; touring possible above 2000 m yet with little variety.",https://www.karellis.com/en/webcams/,200,"Car-free resort at 1600 m above Montricher-Albanne, park at the resort entrance; 2025/26 adult day 35.00; official top 2520 m (skiresort 2482 m); official km given as 60 km groomed (one English page says 65 km); cheapest day pass in the batch.",https://www.leskarellis.com/fr/tarifs-2026-2027-sans-lien | https://www.karellis.com/domaine-skiable/ | https://www.karellis.com/en/activites-hiver/the-downhill-ski-area/ | https://www.odesia-vacances.com/programme-50ans-karellis/ | https://www.skiresort.com/en/ski-resort/les-karellis/,high
